カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
教育,株式会社インフラトップ,未経験者でも最短1か月で専門スキルを習得できる新コース「生成AIエンジニアコース」を開講,DMMグループの株式会社インフラトップが、生成AIエンジニア育成事業に参入し、未経験者向けの「生成AIエンジニアコース」を開講する。最短1ヶ月で専門スキルを習得できるプログラムを提供。,新規事業の創出,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000134.000017442.html),茨 茨木雄太
テクノロジー,株式会社プラスアルファ・コンサルティング,"シェアNo.1テキストマイニングツール「見える化エンジン」に、生成AIを活用したVOC自動分類
                                                                ...",テキストマイニングツール「見える化エンジン」に生成AIを活用したVOC自動分類機能を新規搭載し、顧客の声の分析効率を向上させる取り組みを発表した。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…0.html (https://prtimes.jp/main/html/rd/p/000000186.000023180.html),茨 茨木雄太
メディア・広告・出版,株式会社朝日新聞社,"生成AIを活用したラップバトル形式によるディベートシステムを共同開発「SIGGRAPH ASIA 2024
                                                                ...","朝日新聞社がDentsu Lab Tokyo、Think &
                                                                Craft、兵庫県立大学と共同開発した生成AIを活用したラップバトル形式のディベートシステムが、国際学会「SIGGRAPH
                                                                ASIA 2024 TOKYO」で最高賞を受賞した。",業務プロセス改善,prtimes.jp/mai…4.html (https://prtimes.jp/main/html/rd/p/000001762.000009214.html),田中宏明
テクノロジー,"SoftwareONE
                                                                    Japan株式会社","SoftwareOne、お客様の Microsoft 365 Copilot 導入を一気に加速する - PR
                                                                TIMES","SoftwareONE Japan株式会社がMicrosoft 365
                                                                Copilotの導入を支援する新しいアドバイザリサービスを開始。顧客のAI導入を加速し、業務課題を解決するための各種モジュールを提供。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000011.000063653.html),茨 茨木雄太
テクノロジー,"AI
                                                                    Picasso株式会社","商用利用ができる表現能力が高いAIアート用画像生成AI、Emi 3を無償公開 - PR
                                                                TIMES","商用利用可能なAIアート用画像生成AI「Emi
                                                                3」を無償公開し、クリエイターとの共創を進める取り組みを発表。",既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…9.html (https://prtimes.jp/main/html/rd/p/000000033.000113219.html),茨 茨木雄太
テクノロジー,株式会社データグリッド,データグリッド、画像生成AIの高速化に関する論文がコンピュータービジョン分野の国際会議 ...,株式会社データグリッドが、画像生成AIの高速化に関する研究論文が国際会議WACV2025に採択されたことを発表。従来の手法より生成速度を30倍向上させ、コンテンツ作成における実用性を高めた。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000056.000034722.html),茨 茨木雄太
コンサル・士業,"PwC
                                                                    Japanグループ",PwC Japanグループ、AIケイパビリティのデューデリジェンスサービスを開始,"PwC
                                                                JapanグループがAIケイパビリティのデューデリジェンスサービスを開始し、企業のAI活用能力を評価する新たなサービスを提供する。",既存事業の価値向上 業務プロセス改善,pwc.com/jp/…e.html (https://www.pwc.com/jp/ja/press-room/2024/ai-due-diligence.html),K kosuke takaki
テクノロジー,株式会社カオナビ,「カオナビ」のテキスト分析機能で、生成AIが”社員の声”を感情別に要約 - PR TIMES,株式会社カオナビが提供するタレントマネジメントシステム「カオナビ」に、テキスト分析機能「インサイトファインダー」が追加され、生成AIを活用して社員の声を感情別に要約できるようになる。これにより、業務改善や施策立案の効率化が期待されている。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…3.html (https://prtimes.jp/main/html/rd/p/000000216.000030113.html),茨 茨木雄太
テクノロジー,アスエネ株式会社,アスエネ、CO2排出量見える化・削減・報告クラウド「ASUENE」に「生成AI削減 ...,アスエネ株式会社は、CO2排出量見える化・削減・報告クラウドサービス「ASUENE」に生成AIによる削減シミュレーション機能を提供し、企業のCO2排出量削減を支援する。,既存事業の価値向上 業務プロセス改善,prtimes.jp/mai…8.html (https://prtimes.jp/main/html/rd/p/000000439.000058538.html),茨 茨木雄太
テクノロジー,株式会社エクサウィザーズ,"エクサウィザーズ、AIで記録し、要約・分析する「exaBase 面談要約」の提供を開始 - PR
                                                                TIMES","エクサウィザーズが営業内容をAIで記録し、要約・分析する「exaBase
                                                                面談要約」を提供開始。生成AIを活用し、生産性向上やコンプライアンスチェックを行う。",個人の生産性向上 業務プロセス改善,prtimes.jp/mai…2.html (https://prtimes.jp/main/html/rd/p/000000307.000030192.html),茨 茨木雄太
